Country,Pollutant,Variable,Year,Unit,Emissions
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,1993,Thousands of Kilogram per capita,12.073
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,13.055
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,1995,Thousands of Kilogram per capita,11.637
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,1996,Thousands of Kilogram per capita,12.222
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,1997,Thousands of Kilogram per capita,12.068
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,1998,Thousands of Kilogram per capita,10.573
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,1999,Thousands of Kilogram per capita,10.129
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,9.145
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,9.343
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,9.21
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,10.921
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2004,Thousands of Kilogram per capita,10.74
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2005,Thousands of Kilogram per capita,12.096
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2006,Thousands of Kilogram per capita,10.511
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2007,Thousands of Kilogram per capita,13.539
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2008,Thousands of Kilogram per capita,11.055
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2009,Thousands of Kilogram per capita,8.773
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,11.738
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2011,Thousands of Kilogram per capita,11.963
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2012,Thousands of Kilogram per capita,12.402
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2013,Thousands of Kilogram per capita,14.54
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Thousands of Kilogram per capita,15.808
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2015,Thousands of Kilogram per capita,13.075
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,14.784
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2017,Thousands of Kilogram per capita,16.067
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2018,Thousands of Kilogram per capita,16.859
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2019,Thousands of Kilogram per capita,11.823
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2020,Thousands of Kilogram per capita,10.467
Estonia,Greenhouse gases,Total GHG incl. LULUCF per capita,2021,Thousands of Kilogram per capita,11.644
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1990,Thousands of Kilogram per capita,20.877
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1991,Thousands of Kilogram per capita,20.009
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1992,Thousands of Kilogram per capita,16.707
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1993,Thousands of Kilogram per capita,15.404
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,13.077
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1995,Thousands of Kilogram per capita,12.209
